Time,Question,Answer
25-04-2022 12:34,,hi
25-04-2022 12:34,"Hi there! My name is Sally!,Would you like to ask a question?$Yes Please,No Thanks",Yes Please
25-04-2022 12:34,"Which product do you have a question about?$ VermiGold Tonic, Compost Worms, Fishing Worms, VermiGold Pellets", VermiGold Tonic
25-04-2022 12:34,"What sort of question do you have$ Shipping, Location, Pricing, Technical data, General questions", Shipping
25-04-2022 12:34,"We ship orders all over Australia, unfortunately we do not ship internationally. Our prices include freight cost, we ship once a week.$Yes,No ",Yes
25-04-2022 12:34,"Would you like to view more of our frequently asked questions, or would you like me to direct you to our products$ Frequently Asked Questions,https://www.vermigold.com.au/products ", Frequently Asked Questions
25-04-2022 12:34,"Which product do you have a question about?$ VermiGold Tonic,Compost Worms,Fishing Worms,VermiGold Pellets  ", VermiGold Tonic
25-04-2022 12:34,"What sort of question do you have$ Shipping, Location, Pricing, Technical data, General questions", Shipping
25-04-2022 12:34,"We ship orders all over Australia, unfortunately we do not ship internationally. Our prices include freight cost, we ship once a week.$Yes,No ",No 
25-04-2022 12:34,"Would you like to view our other frequently asked questions or would you like me to put you in contact with one of our team members to address your question?$Frequently Asked Question,Contact team member",Contact team member
25-04-2022 12:34,Please type your Name,shoeb_name_
25-04-2022 12:34,Please type your Email id,hdjj_email_
25-04-2022 12:35,Please type your valid Email id,shoeb.ahmed@spit.ac.in_email_
25-04-2022 12:35,Please type your valid Email id,shoeb@shdk.com_email_
25-04-2022 12:35,Please type your Phone Number,7303764284_phone_
25-04-2022 12:35,Please type your Query,hvbdk_query_
25-04-2022 12:35,"Success! We will send this to the VermiGold team to get back to you shortly, either by email or phone number",
25-04-2022 12:38,,contact team member
25-04-2022 12:38,Please type your Name,hdjk_name_
25-04-2022 12:38,Please type your Email id,djdj@gm.com_email_
25-04-2022 12:39,Please type your Phone Number,4545_phone_
25-04-2022 12:39,Please type your Query,bhdbb_query_
25-04-2022 12:39,"Success! We will send this to the VermiGold team to get back to you shortly, either by email or phone number",
25/04/2022 13:14:08,,hi
25/04/2022 13:14:10,"Hi there! My name is Sally!,Would you like to ask a question?$Yes Please,No Thanks",Yes Please
25/04/2022 13:14:11,"Which product do you have a question about?$ VermiGold Tonic, Compost Worms, Fishing Worms, VermiGold Pellets", Compost Worms
25/04/2022 13:14:13,"What sort of question do you have?$Can I buy more or less than 1 kilo
 of compost worms?,Don’t see your question?",Can I buy more or less than 1 kilo of compost worms?
25/04/2022 13:14:15,We restrict a maximum of 1 Kilo of worms so that we can make limited supplies to as many buyers as possible. We dont sell less than 1 Kilo (approx 4000 worms) as handling and shipment cost will not make this economical. ,Don’t see your question?
25/04/2022 13:14:16,"No worries, let me put you in contact with one of our team members to address your question.$Contact team member",Contact team member
25/04/2022 13:14:18,Please type your Name,Yes Please_name_
25/04/2022 13:14:24,Please type your Email id,asdfgh_email_
25/04/2022 13:14:33,Please type your valid Email id,AS@DCDCD.COM_email_
25/04/2022 13:14:43,Please type your valid Email id,sdf@sx.cgb_email_
25/04/2022 13:14:47,Please type your Phone Number,7452552_phone_
25/04/2022 13:14:50,Please type your Query,sfgvb_query_
25/04/2022 13:14:50,"Success! We will send this to the VermiGold team to get back to you shortly, either by email or phone number",
